SIM,Es,Mss,Md,Msl,Ms,Mf,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
639,15,3,14,3,0.9,log2,88.52497693422961,75.79739704739706,88.66702680128626,75.97403343509873
640,15,5,5,1,0.7,sqrt,76.79400999685697,72.4941724941725,78.31761924559792,74.36365936316619
641,15,5,5,1,0.7,log2,76.8506047794304,72.77907277907278,78.43111245652217,74.77701234763478
642,15,5,5,1,0.9,sqrt,77.88993318530686,74.08815721315722,79.1261737578302,75.62734183230478
643,15,5,5,1,0.9,log2,78.20337419269802,73.23491323491325,79.61489220867624,74.89948688670628
644,15,5,5,3,0.7,sqrt,77.56243980087396,73.11981999482,78.53086685646885,74.27740565194127
645,15,5,5,3,0.7,log2,77.40597783658284,73.51916601916602,78.61818189085295,74.87688021690421
646,15,5,5,3,0.9,sqrt,77.73336983301397,72.66543641543642,78.90461454317298,74.32224476893732
647,15,5,5,3,0.9,log2,77.27786395757926,73.57566045066045,78.41688961430643,75.16207081369586
648,15,5,6,1,0.7,sqrt,79.65532134927152,73.69075369075368,80.69645989691843,75.17244836498534
649,15,5,6,1,0.7,log2,80.2249596982693,75.34155659155658,81.16856480038977,76.54599654167981
650,15,5,6,1,0.9,sqrt,80.26742099339964,73.69026806526806,80.90488641908526,74.65774107382857
651,15,5,6,1,0.9,log2,80.86567103648953,73.86056073556074,81.79903234505005,74.96161749326478
652,15,5,6,3,0.7,sqrt,79.69811722480762,74.0883190883191,80.62275913554029,75.60353861058087
653,15,5,6,3,0.7,log2,79.626628544778,73.80503755503757,80.72747672638674,75.34853673124171
654,15,5,6,3,0.9,sqrt,79.88311991158966,74.0889665889666,80.97445984103932,75.86513275877581
655,15,5,6,3,0.9,log2,79.85485293670347,74.88571613571612,80.74030909907755,75.92541451008066
656,15,5,7,1,0.7,sqrt,81.87622552747108,75.68327505827506,82.89354767077263,77.1955423136805
657,15,5,7,1,0.7,log2,81.83367298313918,75.74074074074075,82.96301551445475,77.12421029890075
658,15,5,7,1,0.9,sqrt,83.18615851000193,75.39983164983164,83.98384023037335,76.47449177735749
659,15,5,7,1,0.9,log2,83.15759750991069,75.39788914788915,84.02679708296125,76.57853524225972
660,15,5,7,3,0.7,sqrt,81.6913140898906,73.68978243978243,82.42929459833029,74.74454636942859
661,15,5,7,3,0.7,log2,81.69124311828939,75.28360528360528,82.57518409368879,76.56917965653143
662,15,5,7,3,0.9,sqrt,82.77339781610245,75.79788267288266,83.52205092494313,76.76295281811747
663,15,5,7,3,0.9,log2,82.40326063813608,74.82922170422171,83.185037068071,75.86969782471414
664,15,5,8,1,0.7,sqrt,84.23963054212166,75.85486272986273,84.96249112818646,76.83662836942725
665,15,5,8,1,0.7,log2,84.38212123977247,75.5696386946387,84.9286035616666,76.39537475630031
