SIM,Es,Mss,Md,Msl,Ms,Mf,Train_Acc [%],Val_Acc [%],Train_F1 [%],Val_F1 [%]
979,65,3,7,1,0.9,log2,97.80749359008419,96.6591150136002,96.80684685144568,95.19907120635652
980,65,3,7,3,0.7,sqrt,97.34240883149958,96.43112243057409,96.14948890660584,94.86072783813884
981,65,3,7,3,0.7,log2,97.23803099634453,96.05139934055309,95.993389130151,94.30353888854356
982,65,3,7,3,0.9,sqrt,97.53224770778527,96.54504657253555,96.41261402282557,95.02555312090051
983,65,3,7,3,0.9,log2,97.43734402988503,96.58299723667218,96.2773151180992,95.06954927951747
984,65,3,8,1,0.7,sqrt,98.0637731461677,96.73487204277025,97.17110064349215,95.26478527491432
985,65,3,8,1,0.7,log2,97.97834362552223,96.69692137863363,97.0489018769307,95.23117078893662
986,65,3,8,1,0.9,sqrt,98.13970149199966,96.92476966255657,97.2789208598041,95.55274347962094
987,65,3,8,1,0.9,log2,98.17766116198918,96.62123649901517,97.33540698994801,95.11893461278291
988,65,3,8,3,0.7,sqrt,97.57022989240708,96.39331606554066,96.45738426868688,94.76181139999397
989,65,3,8,3,0.7,log2,97.48482288639386,96.12715636972317,96.33779336093514,94.41375984279331
990,65,3,8,3,0.9,sqrt,97.71258991218392,96.46914524426231,96.66594370458795,94.92535468766621
991,65,3,8,3,0.9,log2,97.7410709219922,96.6209479008088,96.7054674384673,95.09405424069779
992,65,3,9,1,0.7,sqrt,98.31055603036413,97.00088743948457,97.52535641755443,95.65623239634186
993,65,3,9,1,0.7,log2,98.26309518556108,97.00081528993299,97.45476274041216,95.66375875910245
994,65,3,9,1,0.9,sqrt,98.39597654515671,96.88689114797151,97.64783896978741,95.49003064088339
995,65,3,9,1,0.9,log2,98.36750904412777,96.84879618473173,97.60609993143771,95.43312120175396
996,65,3,9,3,0.7,sqrt,97.75056759387925,96.58292508712059,96.71721334288745,95.05034880746399
997,65,3,9,3,0.7,log2,97.71259441511037,96.46885664605594,96.66179383771768,94.90193934347317
998,65,3,9,3,0.9,sqrt,97.87395678451425,96.658970714497,96.89202106402901,95.16104615391251
999,65,3,9,3,0.9,log2,97.9498761244933,96.88660254976517,97.00025663070613,95.47416501370571
1000,65,3,10,1,0.7,sqrt,98.37700121308839,96.77289485645846,97.61910010880686,95.31092760927702
1001,65,3,10,1,0.7,log2,98.47190489098864,96.92491396165973,97.75456975038836,95.5382005616189
1002,65,3,10,1,0.9,sqrt,98.61426941369196,96.92476966255657,97.9630559333447,95.52392062055614
1003,65,3,10,1,0.9,log2,98.54783773974705,96.77311130511323,97.8662044073512,95.31622566820708
1004,65,3,10,3,0.7,sqrt,97.80751610471646,96.58285293756899,96.7957932128803,95.06126107266812
1005,65,3,10,3,0.7,log2,97.84548027763243,96.39309961688586,96.84789247014969,94.80258181787823
1006,65,3,10,3,0.9,sqrt,98.10173281615721,96.65889856494543,97.216410230132,95.15046974531766
1007,65,3,10,3,0.9,log2,97.930900792425,96.73465559411548,96.9718023241497,95.26566445998087
1008,65,3,11,1,0.7,sqrt,98.5952895786972,96.73508849142503,97.93414094221717,95.26514098196856
1009,65,3,11,1,0.7,log2,98.61428292247132,96.77296700601006,97.96098106174217,95.29649649438102
1010,65,3,11,1,0.9,sqrt,98.77563178309585,97.15254579692785,98.19535699681312,95.85538319709357
1011,65,3,11,1,0.9,log2,98.82307911911951,96.96272032669316,98.26383132048181,95.60147931010448
1012,65,3,11,3,0.7,sqrt,97.96886046241453,96.58299723667218,97.02386670151778,95.03749537811383
1013,65,3,11,3,0.7,log2,97.94038845845915,96.58292508712059,96.98411201480985,95.03793812888723
1014,65,3,11,3,0.9,sqrt,98.15868582992084,96.58285293756899,97.29781807842804,95.03515148394061
1015,65,3,11,3,0.9,log2,98.10174182201014,96.73472774366708,97.2169195992017,95.26524281096161
1016,65,3,12,1,0.7,sqrt,98.747155276214,97.038693804518,98.15084518840156,95.69906811174708
1017,65,3,12,1,0.7,log2,98.6617392643479,96.81113411880146,98.0271369055077,95.37747794350875
1018,65,3,12,1,0.9,sqrt,99.01290448662586,97.07671661820623,98.53946294230308,95.7467826159923
1019,65,3,12,1,0.9,log2,98.96545264767573,97.11466728234285,98.47077544997504,95.79090243624691
1020,65,3,12,3,0.7,sqrt,97.93090529535145,96.8488683342833,96.96806734333265,95.43124789688842
1021,65,3,12,3,0.7,log2,97.90241978261672,96.6590428640486,96.93283259185807,95.16206409997984
1022,65,3,12,3,0.9,sqrt,98.1302138259655,96.73487204277025,97.25681367174897,95.2748788691489
1023,65,3,12,3,0.9,log2,98.10175983371593,96.8109176701467,97.21646579538209,95.3850523518119
1024,65,3,13,1,0.7,sqrt,98.86105229788839,96.88681899841993,98.31684602743996,95.47134227585865
1025,65,3,13,1,0.7,log2,98.74715077328757,96.73487204277025,98.15353327145002,95.26152510123899
1026,65,3,13,1,0.9,sqrt,99.06036082850245,97.15269009603107,98.60984926351357,95.8460218121842
1027,65,3,13,1,0.9,log2,99.0698575003895,96.92484181210814,98.62402262020072,95.5126176085833
1028,65,3,13,3,0.7,sqrt,97.88343094176906,96.65882641539383,96.90206699303825,95.13980587468473
1029,65,3,13,3,0.7,log2,97.89292311072965,96.31719828861263,96.91486533434318,94.66728300853853
1030,65,3,13,3,0.9,sqrt,98.22513551557158,96.6208757512572,97.3919468825471,95.1077174911167
1031,65,3,13,3,0.9,log2,98.1207396687107,96.6208757512572,97.24018201608379,95.07405293210377
1032,65,3,14,1,0.7,sqrt,98.91800080872558,96.96264817714159,98.40014825905305,95.58311915217992
1033,65,3,14,1,0.7,log2,98.85155562600134,96.77296700601006,98.30370170931391,95.29284408977921
1034,65,3,14,1,0.9,sqrt,99.24069852997464,97.19071290971927,98.87283939175984,95.91168884173676
1035,65,3,14,1,0.9,log2,99.10782167330548,96.96286462579636,98.6785848968082,95.58335624392573
1036,65,3,14,3,0.7,sqrt,98.02581347617817,96.65889856494543,97.10799029902265,95.15982041003357
1037,65,3,14,3,0.7,log2,97.94988062741977,96.73487204277025,97.00065490449452,95.27952505122195
1038,65,3,14,3,0.9,sqrt,98.17768367662146,96.8107733710435,97.32315886580787,95.36390621768666
1039,65,3,14,3,0.9,log2,98.16818700473438,96.88674684886834,97.31337313718831,95.48927409732177
1040,65,5,5,1,0.7,sqrt,96.47868449705463,95.3683595356455,94.94747542244666,93.39260397024445
1041,65,5,5,1,0.7,log2,96.48822169527975,95.36807093743911,94.96435565192458,93.40213841147424
1042,65,5,5,1,0.9,sqrt,96.61160188006185,95.52023434174357,95.13547155589764,93.63390097329749
1043,65,5,5,1,0.9,log2,96.55466687800403,95.48213937850377,95.04733738190232,93.59053682493877
1044,65,5,5,3,0.7,sqrt,96.26045016656326,95.14036695261939,94.63772613683386,93.07809833273784
1045,65,5,5,3,0.7,log2,96.18448579731968,95.25436324413243,94.54579287574553,93.2843627606318
1046,65,5,5,3,0.9,sqrt,96.37433818238475,95.67196484873847,94.79166961839208,93.83695099291558
1047,65,5,5,3,0.9,log2,96.28888614710701,95.48206722895216,94.67590221047175,93.55594731404405
1048,65,5,6,1,0.7,sqrt,97.21904665842331,96.24122481078781,95.9808485886801,94.63092516688413
1049,65,5,6,1,0.7,log2,97.15258796691971,96.01366512507124,95.88317014926216,94.28784648632877
1050,65,5,6,1,0.9,sqrt,97.21904665842331,96.39324391598907,95.98188560604643,94.83680345230461
1051,65,5,6,1,0.9,log2,97.21903314964395,96.31727043816423,95.98113768300985,94.72205611114012
1052,65,5,6,3,0.7,sqrt,97.10514963674892,96.16539563206615,95.81361639383334,94.5081618432635
1053,65,5,6,3,0.7,log2,96.92482994698256,95.93754734814321,95.55561646954891,94.16630313687374
1054,65,5,6,3,0.9,sqrt,97.04820112591173,96.16553993116932,95.73088201428014,94.49131092253647
1055,65,5,6,3,0.9,log2,96.97227728300624,96.01344867641647,95.62783575605206,94.2755304724932
1056,65,5,7,1,0.7,sqrt,97.61766822257785,96.62102005036039,96.53881682977482,95.13592638729853
1057,65,5,7,1,0.7,log2,97.62716939739136,96.69706567773682,96.55094785036644,95.24698124152697
1058,65,5,7,1,0.9,sqrt,97.7410709219922,96.73494419232185,96.71552234973649,95.30194222117517
1059,65,5,7,1,0.9,log2,97.62716939739138,96.31719828861264,96.55334918271595,94.7079729186031
1060,65,5,7,3,0.7,sqrt,97.30447617906877,96.20320199709958,96.09040789591701,94.53430804438125
1061,65,5,7,3,0.7,log2,97.35192351509247,96.2793919235792,96.1556004683689,94.64242777438724
1062,65,5,7,3,0.9,sqrt,97.53225671363819,96.54490227343237,96.40892645372546,95.00504940891311
1063,65,5,7,3,0.9,log2,97.42786536970378,96.50709590839894,96.26590683763095,94.98133142777662
1064,65,5,8,1,0.7,sqrt,98.03531465099168,96.6590428640486,97.12962649900365,95.17697112253943
1065,65,5,8,1,0.7,log2,97.88343544469551,96.43105028102251,96.91214807924314,94.84992680734055
1066,65,5,8,1,0.9,sqrt,98.06378215202061,96.77289485645846,97.17188642596861,95.33713767105493
1067,65,5,8,1,0.9,log2,97.97836614015448,96.73479989321866,97.04782991746613,95.28445915463062
1068,65,5,8,3,0.7,sqrt,97.69361908304207,96.54519087163874,96.63818602664882,95.03237112040166
1069,65,5,8,3,0.7,log2,97.67465725975312,96.46914524426231,96.60820461096895,94.89918218685341
1070,65,5,8,3,0.9,sqrt,97.78852726386879,96.69677707953046,96.77252012828524,95.20274570225718
1071,65,5,8,3,0.9,log2,97.76005525991343,96.54526302119034,96.73146158727718,95.00339602367356
1072,65,5,9,1,0.7,sqrt,98.23461867867927,96.88667469931674,97.41246388137186,95.49827023804119
1073,65,5,9,1,0.7,log2,98.13020932303903,96.65882641539383,97.26438644775298,95.15912771268556
1074,65,5,9,1,0.9,sqrt,98.36750454120133,97.00074314038139,97.60655170463596,95.64975461917437
1075,65,5,9,1,0.9,log2,98.29156268659001,96.88681899841993,97.49702823061325,95.49716291567962
1076,65,5,9,3,0.7,sqrt,97.84548928348534,96.73501634187345,96.85144002235114,95.28430641811968
1077,65,5,9,3,0.7,log2,97.684122411155,96.54519087163874,96.62164423141994,95.01659421769591
1078,65,5,9,3,0.9,sqrt,97.930900792425,96.73494419232185,96.97398816283128,95.29037080860456
1079,65,5,9,3,0.9,log2,97.98785380618862,96.92476966255657,97.05481308611556,95.5523225138861
1080,65,5,10,1,0.7,sqrt,98.29156268659001,96.81070122149193,97.49451985115843,95.36247839733107
1081,65,5,10,1,0.7,log2,98.16817799888146,96.73465559411548,97.31710734635476,95.26544181931497
1082,65,5,10,1,0.9,sqrt,98.42444404618561,97.0767887677578,97.686515417629,95.75620344735086
1083,65,5,10,1,0.9,log2,98.48138805409636,96.8109176701467,97.76890117771076,95.37564573814986
1084,65,5,10,3,0.7,sqrt,97.86445560970074,96.84850758652536,96.87817885510995,95.43652421208613
1085,65,5,10,3,0.7,log2,97.70311125200267,96.6209479008088,96.64721603436455,95.12537133133779
1086,65,5,10,3,0.9,sqrt,98.0827664899418,96.88653040021357,97.18902051774825,95.4743180888196
1087,65,5,10,3,0.9,log2,98.02581797910463,96.8107733710435,97.10950400289747,95.38537340997462
1088,65,5,11,1,0.7,sqrt,98.37699671016192,96.73494419232185,97.61804760421586,95.27280369903322
1089,65,5,11,1,0.7,log2,98.43394071807268,97.03862165496642,97.69895153390614,95.70751030754421
1090,65,5,11,1,0.9,sqrt,98.51935222701232,97.0387659540696,97.82480515380429,95.71073409614235
1091,65,5,11,1,0.9,log2,98.51935222701232,96.8109176701467,97.82258932787984,95.36713820946362
1092,65,5,11,3,0.7,sqrt,97.93090529535145,96.81055692238874,96.97067026183973,95.37256361011626
1093,65,5,11,3,0.7,log2,97.85496344074014,96.6209479008088,96.8641095969992,95.0995386079599
1094,65,5,11,3,0.9,sqrt,98.12071715407843,96.7726062582521,97.24342368387788,95.32385729968078
1095,65,5,11,3,0.9,log2,98.0732743209812,96.62080360170562,97.17309458539528,95.08009718495278
1096,65,5,12,1,0.7,sqrt,98.46241272202803,97.00067099082979,97.7384740863695,95.65107708311699
